s_0inlet_1outlet,theta_pristine,eps_pristine,j_pristine_mAcm2,Vreq_pristine_at1000_mV,Vcommon_pristine_mV,theta_mesh,eps_mesh,j_mesh_mAcm2,Vreq_mesh_at1000_mV,Vcommon_mesh_mV
0.0000,0.2641,0.1158,3426.78,1917.64,2033.30,0.1708,0.0702,2776.63,1912.62,1962.70
0.0129,0.4743,0.2495,2454.47,1933.19,2033.30,0.3453,0.1613,2195.40,1922.82,1962.70
0.0258,0.5663,0.3307,2023.40,1942.86,2033.30,0.4360,0.2209,1891.60,1929.78,1962.70
0.0387,0.6190,0.3880,1774.86,1949.61,2033.30,0.4928,0.2643,1701.05,1934.95,1962.70
0.0516,0.6536,0.4318,1611.20,1954.68,2033.30,0.5321,0.2982,1568.74,1938.99,1962.70
0.0645,0.6783,0.4670,1494.37,1958.67,2033.30,0.5612,0.3256,1470.68,1942.26,1962.70
0.0774,0.6927,0.4894,1426.08,1961.16,2033.30,0.5786,0.3432,1411.92,1944.34,1962.70
0.0903,0.7082,0.5153,1352.95,1963.99,2033.30,0.5976,0.3636,1347.70,1946.74,1962.70
0.1032,0.7207,0.5377,1294.27,1966.40,2033.30,0.6132,0.3812,1295.19,1948.82,1962.70
0.1161,0.7309,0.5574,1246.01,1968.45,2033.30,0.6262,0.3967,1251.32,1950.62,1962.70
0.1290,0.7396,0.5749,1205.54,1970.27,2033.30,0.6373,0.4104,1214.03,1952.22,1962.70
0.1419,0.7470,0.5906,1171.04,1971.87,2033.30,0.6468,0.4227,1181.89,1953.64,1962.70
0.1548,0.7518,0.6013,1148.27,1972.94,2033.30,0.6532,0.4312,1160.49,1954.62,1962.70
0.1677,0.7576,0.6146,1121.37,1974.26,2033.30,0.6607,0.4416,1135.00,1955.79,1962.70
0.1806,0.7627,0.6267,1097.68,1975.45,2033.30,0.6675,0.4511,1112.39,1956.88,1962.70
0.1935,0.7672,0.6379,1076.65,1976.52,2033.30,0.6735,0.4598,1092.16,1957.87,1962.70
0.2065,0.7713,0.6482,1057.84,1977.52,2033.30,0.6789,0.4679,1073.94,1958.77,1962.70
0.2194,0.7749,0.6578,1040.88,1978.41,2033.30,0.6838,0.4754,1057.44,1959.60,1962.70
0.2323,0.7774,0.6646,1029.22,1979.04,2033.30,0.6872,0.4807,1046.03,1960.19,1962.70
0.2452,0.7805,0.6732,1014.91,1979.82,2033.30,0.6914,0.4873,1031.96,1960.93,1962.70
0.2581,0.7834,0.6812,1001.82,1980.57,2033.30,0.6952,0.4935,1019.05,1961.60,1962.70
0.2710,0.7860,0.6887,989.80,1981.25,2033.30,0.6988,0.4994,1007.14,1962.25,1962.70
