recover,kd,q_eff(ref),outlet_best_cover,outlet_best_dV_mV,flip
0.0,1.0,0.5,1.0,102.0,False
0.0,1.6,0.5,1.0,106.6,False
0.0,2.4,0.5,1.0,115.0,False
0.0,3.5,0.5,1.0,116.6,False
0.2,1.0,0.4,1.0,102.1,False
0.2,1.6,0.4,1.0,107.1,False
0.2,2.4,0.4,1.0,115.8,False
0.2,3.5,0.4,1.0,118.1,False
0.35,1.0,0.325,1.0,102.1,False
0.35,1.6,0.325,1.0,107.3,False
0.35,2.4,0.325,1.0,116.3,False
0.35,3.5,0.325,1.0,119.1,False
0.5,1.0,0.25,1.0,102.1,False
0.5,1.6,0.25,1.0,107.5,False
0.5,2.4,0.25,1.0,116.8,False
0.5,3.5,0.25,1.0,120.0,False
0.7,1.0,0.15,1.0,102.1,False
0.7,1.6,0.15,1.0,107.7,False
0.7,2.4,0.15,1.0,117.4,False
0.7,3.5,0.15,1.0,121.0,False
