j_set_mAcm2,pristine,pp_015x015,pp_025x030,pp_030x037,pp_040x053,pp_085x115,pp_094x094,pp_120x175,pp_145x175,pp_3x3
10,1462.0,1462.1,1462.0,1462.0,1462.0,1462.0,1462.0,1462.0,1462.0,1462.0
20,1482.4,1482.5,1482.4,1482.4,1482.4,1482.4,1482.4,1482.5,1482.5,1482.4
50,1515.8,1515.6,1515.3,1515.8,1515.4,1515.8,1515.8,1515.6,1515.5,1515.8
100,1552.3,1550.5,1550.1,1552.3,1550.3,1552.3,1552.3,1550.8,1550.7,1552.3
200,1612.3,1603.8,1603.3,1612.3,1604.0,1612.3,1612.3,1605.7,1605.5,1612.3
300,1667.6,1650.2,1649.9,1667.6,1651.2,1667.6,1667.6,1654.5,1654.3,1667.6
400,1719.7,1693.8,1693.7,1719.7,1695.6,1719.7,1719.7,1700.5,1700.4,1719.7
500,1770.3,1735.5,1735.6,1770.3,1738.1,1770.3,1770.3,1744.6,1744.6,1770.3
625,1834.4,1785.8,1786.2,1834.4,1789.4,1834.4,1834.4,1797.6,1797.7,1834.4
750,1899.3,1834.5,1835.2,1899.3,1839.0,1899.3,1899.3,1848.5,1848.7,1899.3
875,1965.5,1882.0,1882.9,1965.5,1887.2,1965.5,1965.5,1897.8,1898.1,1965.5
1000,2033.3,1928.5,1929.6,2033.3,1934.2,2033.3,2033.3,1945.7,1946.1,2033.3
1250,2174.9,2019.0,2020.4,2174.9,2025.6,2174.9,2174.9,2038.5,2039.0,2174.9
1500,2325.0,2107.2,2108.7,2325.0,2114.3,2325.0,2325.0,2128.2,2128.8,2325.0
2000,2652.5,2279.4,2281.2,2652.5,2287.4,2652.5,2652.5,2302.4,2303.2,2652.5
2250,2830.0,2364.6,2366.5,2830.0,2372.8,2830.0,2830.0,2388.3,2389.1,2830.0
