j_set_mAcm2,cover=0 (none),inlet 25%,inlet 50%,inlet 75%,inlet 100%,middle 25%,middle 50%,middle 75%,middle 100%,outlet 25%,outlet 50%,outlet 75%,outlet 100%
10,1462.0,1462.0,1462.0,1462.0,1462.0,1462.0,1462.0,1462.0,1462.0,1462.0,1462.0,1462.0,1462.0
20,1482.4,1482.4,1482.4,1482.4,1482.4,1482.4,1482.4,1482.4,1482.4,1482.4,1482.4,1482.4,1482.4
50,1515.8,1515.7,1515.7,1515.6,1515.5,1515.7,1515.6,1515.5,1515.5,1515.6,1515.6,1515.5,1515.5
100,1552.3,1552.2,1551.8,1551.5,1551.1,1551.9,1551.6,1551.3,1551.1,1551.8,1551.5,1551.2,1551.1
200,1612.3,1611.6,1610.4,1609.1,1607.9,1610.9,1609.7,1608.7,1607.9,1610.7,1609.4,1608.4,1607.9
300,1667.6,1666.0,1663.7,1661.5,1659.4,1664.9,1662.7,1660.8,1659.4,1664.7,1662.3,1660.4,1659.4
400,1719.7,1717.3,1714.1,1711.0,1708.2,1716.0,1712.9,1710.2,1708.2,1715.8,1712.5,1709.8,1708.2
500,1770.3,1767.4,1763.7,1760.2,1754.8,1766.1,1762.5,1758.6,1754.8,1764.1,1760.2,1756.9,1754.8
625,1834.4,1831.4,1827.9,1820.7,1810.3,1829.7,1823.5,1816.9,1810.3,1821.8,1816.5,1812.8,1810.3
750,1899.3,1896.9,1892.2,1879.1,1863.0,1891.5,1882.2,1872.5,1863.0,1879.3,1870.0,1865.9,1863.0
875,1965.5,1964.4,1955.7,1935.6,1913.7,1951.8,1939.0,1926.2,1913.7,1936.5,1921.7,1916.8,1913.7
1000,2033.3,2034.1,2018.6,1990.7,1962.7,2011.4,1994.3,1978.2,1962.7,1993.9,1972.8,1966.0,1962.7
1250,2174.9,2178.0,2143.3,2097.7,2056.8,2131.7,2101.5,2078.5,2056.8,2109.6,2074.1,2060.4,2056.8
1500,2325.0,2326.5,2267.1,2201.7,2147.5,2254.2,2206.4,2175.4,2147.5,2227.5,2174.8,2151.5,2147.5
2000,2652.5,2636.7,2514.0,2404.7,2322.9,2507.2,2416.5,2363.6,2322.9,2471.4,2377.2,2330.8,2322.9
2250,2830.0,2797.7,2637.7,2505.1,2409.2,2638.3,2522.7,2456.2,2409.2,2598.0,2479.8,2420.3,2409.2
