j_set_mAcm2,1.0mL/min,2.0mL/min,4.0mL/min,8.0mL/min,16.0mL/min,29.9mL/min
10,1462.1,1462.0,1462.0,1462.0,1462.0,1461.9
20,1482.7,1482.5,1482.4,1482.3,1482.3,1482.3
50,1517.1,1516.1,1515.5,1515.2,1515.0,1514.9
100,1555.8,1553.1,1551.1,1549.9,1549.3,1549.0
200,1618.6,1613.1,1607.9,1604.1,1601.8,1600.6
300,1674.0,1667.0,1659.4,1652.9,1648.3,1645.8
400,1724.7,1717.3,1708.2,1699.5,1692.6,1688.6
500,1771.8,1764.4,1754.8,1744.5,1735.7,1730.1
625,1826.9,1819.9,1810.3,1799.0,1788.2,1780.7
750,1879.0,1872.4,1863.0,1851.4,1839.4,1830.3
875,1928.8,1922.6,1913.7,1902.1,1889.3,1879.0
1000,1976.9,1971.2,1962.7,1951.3,1938.1,1926.9
1250,2070.4,2064.6,2056.8,2046.1,2032.8,2020.4
1500,2161.4,2154.5,2147.5,2137.4,2124.4,2111.5
2000,2339.5,2329.0,2322.9,2314.1,2302.0,2289.0
2250,2427.8,2415.3,2409.2,2400.8,2389.2,2376.4
