j_set_mAcm2,1.0mL/min,2.0mL/min,4.0mL/min,8.0mL/min,16.0mL/min,29.9mL/min
10,1462.1,1462.0,1462.0,1462.0,1462.0,1461.9
20,1482.9,1482.6,1482.4,1482.4,1482.3,1482.3
50,1518.2,1516.7,1515.8,1515.3,1515.1,1514.9
100,1559.6,1555.4,1552.3,1550.5,1549.6,1549.1
200,1634.5,1620.2,1612.3,1606.5,1602.9,1601.2
300,1710.0,1681.9,1667.6,1657.7,1650.8,1647.1
400,1787.1,1744.1,1719.7,1707.1,1696.8,1690.8
500,1866.8,1806.9,1770.3,1754.6,1741.7,1733.4
625,1970.8,1887.1,1834.4,1811.5,1796.4,1785.6
750,2080.0,1970.0,1899.3,1865.6,1849.5,1836.6
875,2194.6,2056.1,1965.5,1918.0,1901.0,1886.7
1000,2314.4,2145.7,2033.3,1971.1,1951.0,1935.8
1250,2568.3,2335.2,2174.9,2080.5,2047.4,2031.3
1500,2839.5,2538.7,2325.0,2194.6,2140.2,2123.9
2000,3426.1,2985.2,2652.5,2438.5,2326.2,2303.3
2250,3738.9,3226.4,2830.0,2569.1,2425.1,2391.5
