j_set_mAcm2,pristine,hole=0.30mm,hole=0.46mm,hole=0.70mm,hole=1.00mm,hole=1.18mm,hole=2.00mm,hole=3.00mm
10,1462.0,1462.0,1462.0,1462.0,1462.0,1462.0,1462.0,1462.0
20,1482.4,1482.4,1482.4,1482.4,1482.4,1482.4,1482.4,1482.4
50,1515.8,1515.5,1515.5,1515.5,1515.5,1515.5,1515.5,1515.5
100,1552.3,1551.1,1551.1,1551.1,1551.1,1551.1,1551.1,1551.1
200,1612.3,1607.9,1607.9,1607.9,1607.9,1607.9,1607.9,1607.9
300,1667.6,1659.4,1659.4,1659.4,1659.4,1659.4,1659.4,1659.4
400,1719.7,1708.2,1708.2,1708.2,1708.2,1708.2,1708.2,1708.2
500,1770.3,1754.8,1754.8,1754.8,1754.8,1754.8,1754.8,1754.8
625,1834.4,1810.3,1810.3,1810.3,1810.3,1810.3,1810.3,1810.3
750,1899.3,1863.0,1863.0,1863.0,1863.0,1863.0,1863.0,1863.0
875,1965.5,1913.7,1913.7,1913.7,1913.7,1913.7,1913.7,1913.7
1000,2033.3,1962.7,1962.7,1962.7,1962.7,1962.7,1962.7,1962.7
1250,2174.9,2056.8,2056.8,2056.8,2056.8,2056.8,2056.8,2056.8
1500,2325.0,2147.5,2147.5,2147.5,2147.5,2147.5,2147.5,2147.5
2000,2652.5,2322.9,2322.9,2322.9,2322.9,2322.9,2322.9,2322.9
2250,2830.0,2409.2,2409.2,2409.2,2409.2,2409.2,2409.2,2409.2
