j_set_mAcm2,pristine,t=0.20mm,t=0.30mm,t=0.40mm,t=0.48mm,t=0.60mm,t=0.75mm,t=0.85mm
10,1462.0,1462.0,1462.0,1462.0,1462.0,1462.0,1462.0,1462.0
20,1482.4,1482.4,1482.4,1482.4,1482.4,1482.4,1482.4,1482.4
50,1515.8,1515.6,1515.6,1515.5,1515.5,1515.4,1515.3,1515.3
100,1552.3,1551.8,1551.5,1551.3,1551.1,1550.9,1550.5,1550.3
200,1612.3,1610.4,1609.5,1608.6,1607.9,1606.9,1605.8,1605.0
300,1667.6,1664.1,1662.4,1660.8,1659.5,1657.5,1655.2,1653.8
400,1719.7,1714.9,1712.6,1710.2,1708.3,1705.5,1702.2,1700.0
500,1770.3,1763.0,1760.1,1757.3,1754.9,1751.5,1747.2,1744.3
625,1834.4,1819.7,1816.4,1813.1,1810.4,1806.3,1801.1,1797.6
750,1899.3,1874.2,1869.8,1866.1,1863.2,1858.6,1852.8,1848.9
875,1965.5,1928.5,1920.8,1917.0,1913.8,1909.0,1902.7,1898.5
1000,2033.3,1982.7,1970.3,1966.1,1962.8,1957.7,1951.1,1946.6
1250,2174.9,2091.4,2068.8,2060.4,2057.0,2051.6,2044.6,2039.7
1500,2325.0,2201.2,2167.1,2151.2,2147.6,2142.1,2134.8,2129.7
2000,2652.5,2425.4,2364.8,2329.3,2323.0,2317.3,2309.7,2304.3
2250,2830.0,2540.5,2464.9,2418.9,2409.3,2403.5,2395.8,2390.3
