grid,hole_mm,phi_or_t,dV1000_mV(+절감/-손해)
hole×phi @t=0.85,0.5,0.05,104.3
hole×phi @t=0.85,1.0,0.05,104.3
hole×phi @t=0.85,2.0,0.05,104.3
hole×phi @t=0.85,3.0,0.05,92.6
hole×phi @t=0.85,4.0,0.05,83.9
hole×phi @t=0.85,5.0,0.05,77.2
hole×phi @t=0.85,6.0,0.05,72.0
hole×phi @t=0.85,7.0,0.05,67.7
hole×phi @t=0.85,0.5,0.1,104.0
hole×phi @t=0.85,1.0,0.1,104.0
hole×phi @t=0.85,2.0,0.1,104.0
hole×phi @t=0.85,3.0,0.1,92.6
hole×phi @t=0.85,4.0,0.1,84.3
hole×phi @t=0.85,5.0,0.1,78.0
hole×phi @t=0.85,6.0,0.1,73.1
hole×phi @t=0.85,7.0,0.1,69.2
hole×phi @t=0.85,0.5,0.2,103.3
hole×phi @t=0.85,1.0,0.2,103.3
hole×phi @t=0.85,2.0,0.2,103.3
hole×phi @t=0.85,3.0,0.2,92.6
hole×phi @t=0.85,4.0,0.2,85.0
hole×phi @t=0.85,5.0,0.2,79.5
hole×phi @t=0.85,6.0,0.2,75.3
hole×phi @t=0.85,7.0,0.2,71.9
hole×phi @t=0.85,0.5,0.35,101.9
hole×phi @t=0.85,1.0,0.35,101.9
hole×phi @t=0.85,2.0,0.35,101.9
hole×phi @t=0.85,3.0,0.35,92.3
hole×phi @t=0.85,4.0,0.35,86.0
hole×phi @t=0.85,5.0,0.35,81.6
hole×phi @t=0.85,6.0,0.35,78.3
hole×phi @t=0.85,7.0,0.35,75.7
hole×phi @t=0.85,0.5,0.5,99.9
hole×phi @t=0.85,1.0,0.5,99.9
hole×phi @t=0.85,2.0,0.5,99.9
hole×phi @t=0.85,3.0,0.5,91.9
hole×phi @t=0.85,4.0,0.5,86.9
hole×phi @t=0.85,5.0,0.5,83.5
hole×phi @t=0.85,6.0,0.5,81.1
hole×phi @t=0.85,7.0,0.5,79.2
hole×phi @t=0.85,0.5,0.7,96.4
hole×phi @t=0.85,1.0,0.7,96.4
hole×phi @t=0.85,2.0,0.7,96.4
hole×phi @t=0.85,3.0,0.7,91.0
hole×phi @t=0.85,4.0,0.7,87.9
hole×phi @t=0.85,5.0,0.7,85.9
hole×phi @t=0.85,6.0,0.7,84.5
hole×phi @t=0.85,7.0,0.7,83.4
hole×t @phi=0.10,0.5,0.2,112.6
hole×t @phi=0.10,1.0,0.2,112.6
hole×t @phi=0.10,2.0,0.2,112.6
hole×t @phi=0.10,3.0,0.2,100.8
hole×t @phi=0.10,4.0,0.2,92.4
hole×t @phi=0.10,5.0,0.2,86.2
hole×t @phi=0.10,6.0,0.2,81.4
hole×t @phi=0.10,7.0,0.2,77.6
hole×t @phi=0.10,0.5,0.4,110.1
hole×t @phi=0.10,1.0,0.4,110.1
hole×t @phi=0.10,2.0,0.4,110.1
hole×t @phi=0.10,3.0,0.4,98.3
hole×t @phi=0.10,4.0,0.4,89.8
hole×t @phi=0.10,5.0,0.4,83.3
hole×t @phi=0.10,6.0,0.4,78.3
hole×t @phi=0.10,7.0,0.4,74.4
hole×t @phi=0.10,0.5,0.6,108.4
hole×t @phi=0.10,1.0,0.6,108.4
hole×t @phi=0.10,2.0,0.6,108.4
hole×t @phi=0.10,3.0,0.6,97.5
hole×t @phi=0.10,4.0,0.6,89.7
hole×t @phi=0.10,5.0,0.6,83.9
hole×t @phi=0.10,6.0,0.6,79.3
hole×t @phi=0.10,7.0,0.6,75.7
hole×t @phi=0.10,0.5,0.8,105.2
hole×t @phi=0.10,1.0,0.8,105.2
hole×t @phi=0.10,2.0,0.8,105.2
hole×t @phi=0.10,3.0,0.8,94.3
hole×t @phi=0.10,4.0,0.8,86.3
hole×t @phi=0.10,5.0,0.8,80.4
hole×t @phi=0.10,6.0,0.8,75.7
hole×t @phi=0.10,7.0,0.8,72.0
hole×t @phi=0.10,0.5,0.88,103.2
hole×t @phi=0.10,1.0,0.88,103.2
hole×t @phi=0.10,2.0,0.88,103.2
hole×t @phi=0.10,3.0,0.88,91.5
hole×t @phi=0.10,4.0,0.88,83.0
hole×t @phi=0.10,5.0,0.88,76.5
hole×t @phi=0.10,6.0,0.88,71.4
hole×t @phi=0.10,7.0,0.88,67.3
