electrode_angle_deg,mesh_angle_deg,V@1000mV,dV@1000_mV,bubble_d_mm,contact_prob,wetting_drive,capture_eff
40.0,90.0,1935.7,97.6,0.16,0.6288,0.4338,0.2727
40.0,105.8,1929.5,103.9,0.16,0.6288,0.5879,0.3697
40.0,120.0,1925.0,108.4,0.16,0.6288,0.7169,0.4508
40.0,140.0,1920.4,112.9,0.16,0.6288,0.8675,0.5455
60.0,90.0,1939.2,94.2,0.2318,0.6806,0.3333,0.2269
60.0,105.8,1930.6,102.7,0.2318,0.6806,0.5149,0.3504
60.0,120.0,1924.8,108.5,0.2318,0.6806,0.6667,0.4537
60.0,140.0,1919.2,114.2,0.2318,0.6806,0.844,0.5744
80.0,90.0,1949.9,83.5,0.2987,0.7254,0.148,0.1073
80.0,105.8,1935.5,97.8,0.2987,0.7254,0.38,0.2756
80.0,120.0,1926.8,106.6,0.2987,0.7254,0.574,0.4163
80.0,140.0,1918.9,114.5,0.2987,0.7254,0.8007,0.5808
100.0,90.0,1962.7,70.7,0.3609,0.7641,0.0,0.0
100.0,105.8,1951.6,81.8,0.3609,0.7641,0.1194,0.0912
100.0,120.0,1933.7,99.6,0.3609,0.7641,0.3949,0.3018
100.0,140.0,1920.3,113.0,0.3609,0.7641,0.7169,0.5478
110.0,90.0,1962.7,70.7,0.3904,0.7814,0.0,0.0
110.0,105.8,1962.7,70.7,0.3904,0.7814,0.0,0.0
110.0,120.0,1942.4,91.0,0.3904,0.7814,0.2401,0.1876
110.0,140.0,1922.3,111.0,0.3904,0.7814,0.6444,0.5036
120.0,90.0,1962.7,70.7,0.4187,0.7975,0.0,0.0
120.0,105.8,1962.7,70.7,0.4187,0.7975,0.0,0.0
120.0,120.0,1962.7,70.7,0.4187,0.7975,0.0,0.0
120.0,140.0,1926.4,107.0,0.4187,0.7975,0.5321,0.4243
