pos,cover,V@500mV,V@1000mV,dV@500_mV,dV@1000_mV,theta_out@jmax,theta_mean@jmax
inlet,0.0,1770.3,2033.3,0.0,0.0,0.8444,0.8179
inlet,0.25,1767.4,2034.1,2.9,-0.8,0.8444,0.8008
inlet,0.5,1763.7,2018.6,6.6,14.7,0.8444,0.7832
inlet,0.75,1760.2,1990.7,10.2,42.6,0.8444,0.7649
inlet,1.0,1754.8,1962.7,15.5,70.7,0.7827,0.7467
middle,0.0,1770.3,2033.3,0.0,0.0,0.8444,0.8179
middle,0.25,1766.1,2011.4,4.2,21.9,0.8444,0.7994
middle,0.5,1762.5,1994.3,7.9,39.1,0.8444,0.7818
middle,0.75,1758.6,1978.2,11.7,55.2,0.8444,0.7642
middle,1.0,1754.8,1962.7,15.5,70.7,0.7827,0.7467
outlet,0.0,1770.3,2033.3,0.0,0.0,0.8444,0.8179
outlet,0.25,1764.1,1993.9,6.3,39.5,0.7827,0.7996
outlet,0.5,1760.2,1972.8,10.2,60.5,0.7827,0.7811
outlet,0.75,1756.9,1966.0,13.4,67.3,0.7827,0.7634
outlet,1.0,1754.8,1962.7,15.5,70.7,0.7827,0.7467
